景点名称，城市，适合人群，游玩时长，门票价格，最佳季节，标签，描述，推荐游览顺序
故宫，北京，家庭;文化;历史，4-6 小时，60,春秋，历史;建筑;拍照;博物馆，世界现存规模最大木质结构古建筑群，1
天坛，北京，家庭;文化;历史，2-3 小时，15,春秋，历史;建筑;文化，明清两代皇帝祭天场所，2
颐和园，北京，家庭;休闲;文化，4-6 小时，30,春秋，园林;建筑;拍照，中国保存最完整的皇家园林，3
长城 (八达岭),北京，家庭;冒险;历史，6-8 小时，40,春秋，历史;建筑;拍照;徒步，世界文化遗产，中华民族象征，4
圆明园，北京，文化;历史;教育，3-4 小时，25,春秋，历史;遗址;教育，万园之园，爱国主义教育基地，5
南锣鼓巷，北京，年轻人;购物;美食，2-3 小时，0,全年，胡同;美食;购物;文化，北京最古老街区之一，特色小吃聚集地，6
王府井，北京，购物;美食;家庭，2-4 小时，0,全年，商业街;美食;购物，北京最著名商业步行街，7
国家博物馆，北京，文化;历史;教育，4-6 小时，0,全年，博物馆;历史;文化，世界上参观人数最多的博物馆，8
鸟巢，北京，文化;体育;拍照，2-3 小时，50,全年，建筑;体育;地标，2008 年奥运会主体育场，9
水立方，北京，文化;体育;拍照，2-3 小时，30,全年，建筑;体育;地标，国家游泳中心，奥运遗产，10
外滩，上海，家庭;文化;拍照，2-3 小时，0,春秋，地标;建筑;拍照，上海标志性景点，万国建筑博览群，1
东方明珠，上海，家庭;文化;拍照，2-3 小时，199,全年，地标;建筑;观景，上海地标性建筑，观光层俯瞰全城，2
豫园，上海，家庭;文化;历史，2-3 小时，40,春秋，园林;历史;建筑，江南古典园林代表作，3
南京路，上海，购物;美食;家庭，2-4 小时，0,全年，商业街;美食;购物，中华商业第一街，4
迪士尼乐园，上海，亲子;年轻人;娱乐，8-10 小时，399,全年，游乐园;亲子;娱乐，中国大陆首座迪士尼主题乐园，5
田子坊，上海，年轻人;文化;购物，2-3 小时，0,全年，艺术;创意;购物，上海创意产业集聚区，6
静安寺，上海，文化;历史;宗教，1-2 小时，50,全年，寺庙;历史;文化，千年古刹，闹中取静，7
上海博物馆，上海，文化;历史;教育，3-4 小时，0,全年，博物馆;历史;文化，收藏大量中国古代艺术品，8
朱家角古镇，上海，家庭;文化;休闲，4-6 小时，80,春秋，古镇;文化;水乡，上海保存最完整的江南水乡古镇，9
欢乐谷，上海，年轻人;娱乐;冒险，6-8 小时，230,全年，游乐园;刺激;娱乐，大型现代化主题公园，10
兵马俑，西安，家庭;文化;历史，3-4 小时，120,春秋，历史;博物馆;文化，世界第八大奇迹，秦始皇陵陪葬坑，1
大雁塔，西安，家庭;文化;历史，2-3 小时，50,春秋，历史;佛教;建筑，唐代玄奘法师译经之地，2
城墙，西安，家庭;文化;休闲，2-3 小时，54,春秋，历史;建筑;骑行，中国现存最完整古代城垣，3
回民街，西安，美食;购物;文化，2-3 小时，0,全年，美食;清真;购物，西安特色小吃聚集地，4
华清宫，西安，家庭;文化;历史，3-4 小时，150,春秋，历史;园林;文化，唐玄宗与杨贵妃爱情故事发生地，5
大唐芙蓉园，西安，家庭;文化;拍照，3-4 小时，120,春秋，园林;文化;表演，全方位展示盛唐风貌，6
陕西历史博物馆，西安，文化;历史;教育，3-4 小时，0,全年，博物馆;历史;文化，古都明珠，华夏宝库，7
钟楼，西安，家庭;文化;拍照，1-2 小时，30,全年，历史;建筑;地标，西安标志性古建筑，8
鼓楼，西安，家庭;文化;拍照，1-2 小时，30,全年，历史;建筑;文化，与钟楼遥相呼应，9
华山，西安，冒险;自然;登山，8-10 小时，160,春秋，自然;登山;险峻，五岳之一，以险著称，10
